"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","CODE_VAL","char","10","0","1","","1","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","CODE_DESCRIPTION","varchar","1000","0","0","","2","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","CODE_SUB_VAL","char","10","0","1","","3","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","ID_NUM","char","10","0","0","","4","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","ACTIVE_IND","char","5","0","0","","5","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","PX_CREATE_DATETIME","timestamp","0","0","0","","6","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","PX_CREATE_OPNAME","varchar","128","0","0","","7","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","PX_UPDATE_DATETIME","timestamp","0","0","0","","8","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","PX_UPDATE_OPNAME","varchar","128","0","0","","9","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","START_DT","date","0","0","0","","10","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","END_DT","date","0","0","0","","11","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","RECORD_DELETED_FLAG","smallint","0","0","1","","12","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","CTL_ID","char","10","0","0","","13","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","INS_TXF_BATCH_ID","int","0","0","0","","14","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","UPD_TXF_BATCH_ID","int","0","0","0","","15","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","INS_PROC_NAME","char","35","0","0","","16","2023-03-08 10:17:00.940","Common_Team"
"DTTBO","DIM_LEAD_DMSSUBPURPOSE","UPD_PROC_NAME","char","35","0","0","","17","2023-03-08 10:17:00.940","Common_Team"
