"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L10_PARTY_ID","int","0","0","0","","1","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L10_ID","string","0","0","0","","2","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L7_ID","string","0","0","0","","3","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L7_EN","string","0","0","0","","4","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L7_TH","string","0","0","0","","5","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L7_EN","string","0","0","0","","6","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L7_TH","string","0","0","0","","7","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L6_ID","char","10","0","0","","8","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L6_EN","varchar","100","0","0","","9","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L6_TH","varchar","100","0","0","","10","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L6_EN","varchar","250","0","0","","11","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L6_TH","varchar","250","0","0","","12","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L5_ID","char","10","0","0","","13","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L5_EN","varchar","100","0","0","","14","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L5_TH","varchar","100","0","0","","15","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L5_EN","varchar","250","0","0","","16","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L5_TH","varchar","250","0","0","","17","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L4_ID","char","10","0","0","","18","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L4_EN","varchar","100","0","0","","19","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L4_TH","varchar","100","0","0","","20","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L4_EN","varchar","250","0","0","","21","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L4_TH","varchar","250","0","0","","22","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L3_ID","char","10","0","0","","23","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L3_EN","varchar","100","0","0","","24","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L3_TH","varchar","100","0","0","","25","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L3_EN","varchar","250","0","0","","26","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L3_TH","varchar","250","0","0","","27","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L2_ID","char","10","0","0","","28","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L2_EN","varchar","100","0","0","","29","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L2_TH","varchar","100","0","0","","30","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L2_EN","varchar","250","0","0","","31","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L2_TH","varchar","250","0","0","","32","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_L1_ID","char","10","0","0","","33","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L1_EN","varchar","100","0","0","","34","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_L1_TH","varchar","100","0","0","","35","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L1_EN","varchar","250","0","0","","36","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","RC_NAME_DESC_L1_TH","varchar","250","0","0","","37","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","CHILD_SEGMENT_MAX_VALUE","int","0","0","0","","38","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","CHILD_SEGMENT_MIN_VALUE","int","0","0","0","","39","2023-03-08 22:24:31.847","montarat"
"VTPBIT","TVBI_BI_RC_SUB_LEV_6_7","FLAG","int","0","0","0","","40","2023-03-08 22:24:31.847","montarat"
