"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","RM_ID","varchar","100","0","0","","1","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_ID_NUM","varchar","100","0","0","","2","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_ID_TYPE","varchar","200","0","0","","3","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","PREFIX_TH","varchar","10","0","0","","4","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_NAME_TH","string","0","0","0","","5","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","PREFIX_EN","varchar","10","0","0","","6","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_NAME_EN","string","0","0","0","","7","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_MTHLY_SGMT_CODE","char","10","0","0","","8","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_MTHLY_SGMT_NAME","varchar","255","0","0","","9","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","BIRTH_DT","date","0","0","0","","10","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","GENDER","varchar","200","0","0","","11","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","MARITAL_STATUS","varchar","200","0","0","","12","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","NATIONALITY","varchar","200","0","0","","13","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","OCCUPATION","varchar","200","0","0","","14","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","MONTHLY_INCOME","double","0","0","0","","15","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","MOBILE_PHONE","string","0","0","0","","16","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","HOME_PHONE","string","0","0","0","","17","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","OFFICE_PHONE","string","0","0","0","","18","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","HOME_EMAIL_ADDRESS","string","0","0","0","","19","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","OFFICE_EMAIL_ADDRESS","string","0","0","0","","20","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_SINCE_DT","date","0","0","0","","21","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","PARTY_ID","int","0","0","0","","22","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","PB_OWNER","varchar","10","0","0","","23","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_RISK_ASSESS_DT","date","0","0","0","","24","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_RISK_ASSESS_SCORE","varchar","50","0","0","","25","2023-03-09 00:39:12.562","Common_Team"
"VTPWSS","TVWSS_CUST_DEMOGRAPHIC","CUST_RISK_ASSESS_EXP_DT","date","0","0","0","","26","2023-03-09 00:39:12.562","Common_Team"
