"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VEUEDM","V_EDM_RELATED_TR_SEND","Id","VARCHAR","200","0","0","","1","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Party_Identification_Type_Cd","SMALLINT","5","0","0","","2","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Party_Id","INTEGER","10","0","0","","3","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Account_Num","VARCHAR","100","0","0","","4","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Account_Modifier_Num","VARCHAR","20","0","0","","5","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Base_Acct_Num","VARCHAR","200","0","0","","6","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Acct_Name","VARCHAR","240","0","0","","7","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Acct_No","VARCHAR","200","0","0","","8","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Appl_Code","VARCHAR","20","0","0","","9","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Open_Date","DATE","10","0","0","","10","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Close_Date","DATE","10","0","0","","11","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Status","CHAR","3","0","0","","12","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Data_As_At","DATE","10","0","0","","13","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Branch","CHAR","10","0","0","","14","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Prod_Code","VARCHAR","100","0","0","","15","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Account_Ind","CHAR","3","0","0","","16","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Deal_Ind","CHAR","3","0","0","","17","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","GL_Product_Code_Val","CHAR","10","0","0","","18","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","GL_Account_Code_Val","CHAR","10","0","0","","19","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","TR_N_Amt","DECIMAL","38","2","0","","20","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Int_Pay","DECIMAL","38","2","0","","21","2023-03-08 16:40:34.077","Phase2"
"VEUEDM","V_EDM_RELATED_TR_SEND","Int_Rec","DECIMAL","38","2","0","","22","2023-03-08 16:40:34.077","Phase2"
