"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","AS_OF_DT","date","0","0","0","","1","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_ID","bigint","0","0","0","","2","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_START_DT","date","0","0","0","","3","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_CTL_ID","char","10","0","0","","4","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_START_TM","timestamp","0","0","0","","5","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_ACTIVITIES_TYPE_CD","smallint","0","0","0","","6","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","TRANSACTION_ID","varchar","100","0","0","","7","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_STATUS_CD","smallint","0","0","0","","8","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","BASE_ACCOUNT_NUM","varchar","100","0","0","","9","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","TERMINAL_ID","varchar","50","0","0","","10","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","AUTHORIZATION_NUM","char","8","0","0","","11","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","EVENT_BRANCH_CODE","char","10","0","0","","12","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","ACCT_SEQUENCE_NUM","varchar","5","0","0","","13","2023-03-09 04:15:00.658","montarat"
"VTXEDW","VESL_EDW_NON_FINAN_EVENT_RBF","REFERENCE_NUM","varchar","50","0","0","","14","2023-03-09 04:15:00.658","montarat"
