"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","CARD_NUM","varchar","16","0","0","","1","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","EXT_OC_CODE","char","10","0","0","","2","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_01","varchar","100","0","0","","3","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_02","varchar","100","0","0","","4","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_03","varchar","100","0","0","","5","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_04","varchar","100","0","0","","6","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_05","varchar","100","0","0","","7","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_06","varchar","100","0","0","","8","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_07","varchar","100","0","0","","9","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_08","varchar","100","0","0","","10","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_09","varchar","100","0","0","","11","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","COLUMN_10","varchar","100","0","0","","12","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","START_DT","date","0","0","0","","13","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","END_DT","date","0","0","0","","14","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","RECORD_DELETED_FLAG","smallint","0","0","0","","15","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","CTL_ID","char","10","0","0","","16","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","INS_PROC_NAME","char","35","0","0","","17","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","INS_TXF_BATCH_ID","int","0","0","0","","18","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","UPD_PROC_NAME","char","35","0","0","","19","2023-03-08 00:59:58.363","Common_Team"
"DPYBIT","BI_EXT_SPC_CREDIT_CARD","UPD_TXF_BATCH_ID","int","0","0","0","","20","2023-03-08 00:59:58.363","Common_Team"
