"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","DIFF_RATE_TIER_ID","smallint","0","0","0","","1","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","DIFF_RATE_TIER_DESC","varchar","100","0","0","","2","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","DIFF_RATE_TIER_MIN","decimal","22","2","0","","3","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","DIRR_RATE_TIER_MAX","decimal","22","2","0","","4","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","START_DT","date","0","0","0","","5","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","END_DT","date","0","0","0","","6","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","RECORD_DELETED_FLAG","smallint","0","0","1","","7","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","CTL_ID","char","10","0","0","","8","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","INS_PROC_NAME","char","35","0","0","","9","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","INS_TXF_BATCH_ID","int","0","0","0","","10","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","UPD_PROC_NAME","char","35","0","0","","11","2023-03-08 01:19:52.628","Common_Team"
"DPYBIT","BI_DIFF_RATE_TIER_CNSP","UPD_TXF_BATCH_ID","int","0","0","0","","12","2023-03-08 01:19:52.628","Common_Team"
