"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","S1_FCY_FEE_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","TRANREF","varchar","35","0","0","","2","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","FEEACCOUNTID","varchar","35","0","0","","3","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","SEQNUM","int","0","0","0","","4","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","FEECODE","varchar","20","0","0","","5","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","FEEAMOUNT","decimal","18","3","0","","6","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","FEECURRENCYCDKY","varchar","3","0","0","","7","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","RATETYPE","varchar","6","0","0","","8","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","DEALNO","varchar","32","0","0","","9","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","EXCHANGERATE","decimal","28","10","0","","10","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","HOSTSTATUSCODE","varchar","64","0","0","","11","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","SCHDEXECUTIONDTTM","date","0","0","0","","12","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","START_DT","date","0","0","0","","13","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","END_DT","date","0","0","0","","14","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","RECORD_DELETED_FLAG","smallint","0","0","0","","15","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","CTL_ID","char","3","0","0","","16","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","INS_PROC_NAME","char","35","0","0","","17","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","INS_TXF_BATCHID","int","0","0","0","","18","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","UPD_PROC_NAME","char","35","0","0","","19","2023-02-16 20:00:54.114","montarat"
"VSGEDW","S1_FCY_FEE_1_0","UPD_TXF_BATCHID","int","0","0","0","","20","2023-02-16 20:00:54.114","montarat"
