"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","LEGO_TRANS_UPI_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","SCB_UPI_TXN_ID","VARCHAR","11","0","1","","2","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","ORDER_ID","VARCHAR","40","0","0","","3","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","ORI_ORDER_ID","VARCHAR","40","0","0","","4","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","QUERY_ID","VARCHAR","256","0","0","","5","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","ORI_QUERY_ID","VARCHAR","256","0","0","","6","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","AUDIT_NO","CHAR","10","0","0","","7","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","TRANSMISS_TIME","VARCHAR","30","0","0","","8","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","SCB_TXN_DT_ID","VARCHAR","11","0","0","","9","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","CREATED_DATETIME","TIMESTAMP","26","0","0","","10","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","UPDATED_DATETIME","TIMESTAMP","26","0","0","","11","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","UPDATE_DT","DATE","10","0","0","","12","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","START_DT","DATE","10","0","0","","13","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","END_DT","DATE","10","0","0","","14","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","RECORD_DELETED_FLAG","BYTEINT","0","0","0","","15","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","CTL_ID","CHAR","3","0","0","","16","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","INS_PROC_NAME","CHAR","35","0","0","","17","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","INS_TXF_BATCHID","INTEGER","0","0","0","","18","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","UPD_PROC_NAME","CHAR","35","0","0","","19","2023-02-16 19:42:46.733","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_UPI_1_0","UPD_TXF_BATCHID","INTEGER","0","0","0","","20","2023-02-16 19:42:46.733","NEX_KRISSANA"
